timestamp,open,high,low,close,volume
2008-01-25,0.4699,0.4700,0.4599,0.4700,188500
2008-01-24,0.4499,0.4699,0.4300,0.4699,111093
2008-01-23,0.4500,0.4600,0.4010,0.4400,360429
2008-01-22,0.4700,0.4799,0.3700,0.4599,271000
2008-01-18,0.4899,0.4899,0.4601,0.4700,111900
2008-01-17,0.4900,0.4900,0.4700,0.4899,142200
2008-01-16,0.5000,0.5000,0.4900,0.4999,75200
2008-01-15,0.5000,0.5000,0.4900,0.4901,55400
2008-01-14,0.5197,0.5197,0.4801,0.5000,228900
2008-01-11,0.5197,0.5197,0.4900,0.4999,47300
2008-01-10,0.5100,0.5100,0.4800,0.4999,191100
2008-01-09,0.5200,0.5400,0.5005,0.5005,111100
2008-01-08,0.5101,0.5400,0.5100,0.5200,90400
2008-01-07,0.5101,0.5299,0.5001,0.5200,72700
2008-01-04,0.5200,0.5300,0.5100,0.5200,56078
2008-01-03,0.5300,0.5400,0.5100,0.5300,54700
2008-01-02,0.4822,0.5299,0.4822,0.5299,79500
2007-12-31,0.4800,0.5100,0.4800,0.5099,385009
2007-12-28,0.5003,0.5100,0.5000,0.5050,206370
2007-12-27,0.5006,0.5199,0.5000,0.5000,124800
2007-12-26,0.5180,0.5300,0.5000,0.5099,290637
2007-12-24,0.5105,0.5200,0.5100,0.5150,102700
2007-12-21,0.5300,0.5389,0.5100,0.5200,87600
2007-12-20,0.5100,0.5399,0.4800,0.5399,127202
2007-12-19,0.5200,0.5500,0.5200,0.5300,78710
2007-12-18,0.5100,0.5400,0.5100,0.5390,104200
2007-12-17,0.5305,0.5500,0.5201,0.5250,54900
2007-12-14,0.5400,0.5600,0.5300,0.5600,107400
2007-12-13,0.5250,0.5500,0.5100,0.5400,178700
2007-12-12,0.5100,0.5299,0.5100,0.5200,58320
2007-12-11,0.5201,0.5300,0.5103,0.5200,250400
2007-12-10,0.5299,0.5300,0.5200,0.5200,124400
2007-12-07,0.5300,0.5394,0.5200,0.5200,136000
2007-12-06,0.5350,0.5399,0.5200,0.5280,152900
2007-12-05,0.5405,0.5500,0.5200,0.5200,74400
2007-12-04,0.5600,0.5600,0.5305,0.5500,74500
2007-12-03,0.5500,0.5500,0.5300,0.5500,68100
2007-11-30,0.5300,0.5500,0.5206,0.5500,291100
2007-11-29,0.5205,0.5400,0.5101,0.5399,79500
2007-11-28,0.5300,0.5400,0.5200,0.5300,102600
2007-11-27,0.5500,0.5500,0.5200,0.5400,131000
2007-11-26,0.5500,0.5599,0.5101,0.5400,118000
2007-11-23,0.5600,0.5600,0.5300,0.5500,120200
2007-11-21,0.5500,0.5600,0.5400,0.5500,100400
2007-11-20,0.5300,0.5700,0.5300,0.5500,174300
2007-11-19,0.5500,0.5600,0.5300,0.5600,74500
2007-11-16,0.5600,0.5601,0.5500,0.5600,225200
2007-11-15,0.5000,0.5800,0.5000,0.5600,65700
2007-11-14,0.6000,0.6001,0.5506,0.5800,100700
2007-11-13,0.5600,0.5800,0.5500,0.5800,103930
2007-11-12,0.5000,0.5900,0.5000,0.5800,155100
2007-11-09,0.5900,0.5900,0.5600,0.5900,170200
2007-11-08,0.5700,0.5900,0.5500,0.5700,264000
2007-11-07,0.6000,0.6095,0.5700,0.5700,92400
2007-11-06,0.6010,0.6100,0.5900,0.6000,208100
2007-11-05,0.6000,0.6100,0.6000,0.6000,112900
2007-11-02,0.6100,0.6200,0.6000,0.6100,192000
2007-11-01,0.6198,0.6200,0.6000,0.6100,61000
2007-10-31,0.6200,0.6200,0.6000,0.6200,132700
2007-10-30,0.6001,0.6200,0.6000,0.6200,103500
2007-10-29,0.6000,0.6200,0.6000,0.6012,198500
2007-10-26,0.6100,0.6100,0.6000,0.6000,134400
2007-10-25,0.6000,0.6200,0.6000,0.6197,142500
2007-10-24,0.6100,0.6200,0.6000,0.6200,131400
2007-10-23,0.6200,0.6200,0.6000,0.6005,161800
2007-10-22,0.6200,0.6300,0.6100,0.6200,111900
2007-10-19,0.6300,0.6300,0.6100,0.6193,179600
2007-10-18,0.6300,0.6300,0.6200,0.6200,81800
2007-10-17,0.6200,0.6300,0.6200,0.6245,106900
2007-10-16,0.6400,0.6400,0.6200,0.6269,127800
2007-10-15,0.6300,0.6400,0.6200,0.6400,106200
2007-10-12,0.6300,0.6400,0.6300,0.6400,135600
2007-10-11,0.6400,0.6400,0.6200,0.6400,163800
2007-10-10,0.6300,0.6400,0.6200,0.6400,93400
2007-10-09,0.6201,0.6321,0.6100,0.6200,168100
2007-10-08,0.6300,0.6400,0.6200,0.6205,73600
2007-10-05,0.6250,0.6300,0.6200,0.6300,80600
2007-10-04,0.6300,0.6400,0.6200,0.6276,86100
2007-10-03,0.6400,0.6400,0.6300,0.6400,87400
2007-10-02,0.6300,0.6495,0.6200,0.6300,187800
2007-10-01,0.6399,0.6400,0.6200,0.6300,66000
2007-09-28,0.6300,0.6400,0.6100,0.6252,92000
